Name,Clusters
Vangipurappu Venkata Sai Laxman,7
Varun Raymond Aaron,3
Veer Pratap Singh,3
Vidyut Sivaramakrishnan,7
Vijay Hari Zol,3
Vijay Shankar,3
Vijaykumar Yo Mahesh,3
Vikram Rajvir Singh,3
Vikramjeet Malik,3
Vikrant Shyam Yeligati,3
Virat Kohli,1
Virender Sehwag,4
Visvajitsinh Dilipsinh Solanki,3
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,7
Wasim Jaffer,7
Wayne Dillon Parnell,7
Wilkin Arvind Mota,3
Wriddhaman Prasanta Saha,6
Xavier Thalaivan Sargunam,3
Yalaka Gnaneswara Rao,7
Yalaka Venugopal Rao,2
Yashpal Singh,2
Yogesh Nagar,7
Yogesh Vijay Takawale,7
Yusuf Adam Abdulla,3
Yusuf Khan Pathan,4
Yuvraj Singh,4
Yuzvendra Singh Chahal,3
Zaheer Khan,3
